InputData;Service;Method;KubernetesObjectType;KubernetesObjectName;DockerImage;DockerImageVersion;KubernetesNamespace;KubernetesGracePeriodInSeconds;Function
create kubernetes pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
could i create a kubernetes pod?;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
i want to create pod inkubernetes;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
i want to create pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
create pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
pod in kubernetes create;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
pod create in kubernetes;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
new kubernetes pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
new pod in kubernetes;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
please create a new pod in kubernetes;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
kubernetes api post /pods;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
create kubernetes pod with the api;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
please create kubernetes pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
please kubernetes pod create;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
please pod create kubernetes;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
pod create kubernetes;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
pod create kubernetes;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
i need a new pod in kubernetes;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
need a new kubernetes pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
kubernetes new pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
save new kubernetes pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
save kubernetes pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
save pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
save new pod;Kubernetes;Create;Pod;;;;;;Kubernetes.Create.Pod
"create a kubernetes pod named ""my-pod"" with image ""nginx"".";Kubernetes;Create;Pod;my-pod;nginx;latest;;;Kubernetes.Create.Pod
"deploy a new pod in the kubernetes cluster using the image ""my-app:latest"".";Kubernetes;Create;Pod;;my-app;latest;;;Kubernetes.Create.Pod
"instantiate a kubernetes pod called ""frontend"" using the docker image ""frontend:v1.0"".";Kubernetes;Create;Pod;frontend;fronend;v1.0;;;Kubernetes.Create.Pod
"start a pod named ""backend"" running the container image ""my-backend-app:latest"".";Kubernetes;Create;Pod;backend;my-backend-app;latest;;;Kubernetes.Create.Pod
"launch a kubernetes pod called ""worker"" using the container image ""worker-app:v2.1"".";Kubernetes;Create;Pod;worker;worker-app;v2.1;;;Kubernetes.Create.Pod
"spin up a new pod named ""database"" utilizing the image ""postgres:12.5"".";Kubernetes;Create;Pod;database;postgres;12.5;;;Kubernetes.Create.Pod
"deploy a pod in the cluster with the name ""api"" and the image ""my-api-app:v3.2"".";Kubernetes;Create;Pod;api;my-api-app;v3.2;;;Kubernetes.Create.Pod
"instantiate a kubernetes pod named ""redis"" running the container image ""redis:latest"".";Kubernetes;Create;Pod;redis;redis;latest;;;Kubernetes.Create.Pod
"create a pod in the cluster called ""logger"" using the image ""logger-app:v1.4"".";Kubernetes;Create;Pod;logger;logger-app;v1.4;;;Kubernetes.Create.Pod
"launch a new pod named ""monitoring"" with the container image ""prometheus:latest"".";Kubernetes;Create;Pod;monitoring;prometheus;latest;;;Kubernetes.Create.Pod
"deploy a pod named ""web-server"" using the image ""nginx:1.21"".";Kubernetes;Create;Pod;web-server;nginx;1.21;;;Kubernetes.Create.Pod
"create a kubernetes pod called ""api-server"" with the container image ""my-api-app:v2.0"".";Kubernetes;Create;Pod;api-server;my-api-app;v2.0;;;Kubernetes.Create.Pod
"instantiate a pod named ""database"" using the image ""mysql:8.0"".";Kubernetes;Create;Pod;database;mysql;8.0;;;Kubernetes.Create.Pod
"launch a kubernetes pod called ""cache"" with the container image ""redis:latest"".";Kubernetes;Create;Pod;cache;redis;latest;;;Kubernetes.Create.Pod
"start a pod named ""worker-1"" running the container image ""worker-app:v1.2"".";Kubernetes;Create;Pod;worker-1;worker-app;v1.2;;;Kubernetes.Create.Pod
"deploy a new pod in the cluster with the name ""frontend"" and the image ""frontend-app:v1.5"".";Kubernetes;Create;Pod;frontend;frontend-app;v1.5;;;Kubernetes.Create.Pod
"spin up a kubernetes pod named ""backend-1"" utilizing the image ""backend-app:latest"".";Kubernetes;Create;Pod;backend-1;backend-app;latest;;;Kubernetes.Create.Pod
"create a pod in the cluster called ""logging"" using the image ""logstash:7.10"".";Kubernetes;Create;Pod;logging;logstash;7.10;;;Kubernetes.Create.Pod
"instantiate a kubernetes pod named ""mailer"" running the container image ""mailer-app:v3.0"".";Kubernetes;Create;Pod;mailer;mailer-app;v3.0;;;Kubernetes.Create.Pod
"launch a pod named ""analytics"" using the image ""analytics-app:v2.3"".";Kubernetes;Create;Pod;analytics;analytics-app;v2.3;;;Kubernetes.Create.Pod
"deploy a kubernetes pod called ""scheduler"" with the container image ""scheduler-app:v1.1"".";Kubernetes;Create;Pod;scheduler;scheduler-app;v1.1;;;Kubernetes.Create.Pod
"start a new pod named ""monitor"" utilizing the image ""monitor-app:latest"".";Kubernetes;Create;Pod;monitor;monitor-app;latest;;;Kubernetes.Create.Pod
"create a pod in the cluster called ""load-balancer"" with the image ""haproxy:2.2"".";Kubernetes;Create;Pod;load-balancer;haproxy;2.2;;;Kubernetes.Create.Pod
"instantiate a kubernetes pod named ""backup"" using the container image ""backup-app:v1.4"".";Kubernetes;Create;Pod;backup;backup-app;v1.4;;;Kubernetes.Create.Pod
"launch a pod named ""search"" running the image ""elasticsearch:7.13"".";Kubernetes;Create;Pod;search;elasticsearch;7.13;;;Kubernetes.Create.Pod
new pod nginx;Kubernetes;Create;Pod;nginx;;;;;Kubernetes.Create.Pod
"deploy a new pod in the cluster with the name ""auth"" and the image ""auth-app:v2.2"".";Kubernetes;Create;Pod;auth;auth-app;v2.2;;;Kubernetes.Create.Pod
delete kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
destroy kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
i don�t need the kubernetes pod no more;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
can i delete the kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
delete the kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
kubernetes pod not used anymore;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
no kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
kubernetes pod delete;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
delete my kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
useless kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
delete kubernetes pod please;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
delete pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
i don�t need the pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
pod is useless;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
delete pod please;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
remove pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
remove kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
remove the kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
kill kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
kill the kubernetes pod;Kubernetes;Delete;Pod;;;;;;Kubernetes.Delete.Pod
"delete the pod named ""my-pod"".";Kubernetes;Delete;Pod;my-pod;;;;;Kubernetes.Delete.Pod
"remove the kubernetes pod with the name ""frontend"".";Kubernetes;Delete;Pod;frontend;;;;;Kubernetes.Delete.Pod
"terminate the pod running the container ""backend-app"".";Kubernetes;Delete;Pod;backend-app;;;;;Kubernetes.Delete.Pod
"delete the pod named ""app=worker"".";Kubernetes;Delete;Pod;app=worker;;;;;Kubernetes.Delete.Pod
"remove the pod named ""database"" from the cluster.""""";Kubernetes;Delete;Pod;database;;;;;Kubernetes.Delete.Pod
"terminate the pod named ""api"".";Kubernetes;Delete;Pod;api;;;;;Kubernetes.Delete.Pod
"delete the pod named ""logger"" in the namespace ""logging"".";Kubernetes;Delete;Pod;logger;;;logging;;Kubernetes.Delete.Pod
"remove the pod named ""tier=frontend"" in the namespace ""development"".";Kubernetes;Delete;Pod;tier=frontend;;;development;;Kubernetes.Delete.Pod
"terminate the pod named ""my-app"" in the namespace ""default"".";Kubernetes;Delete;Pod;my-app;;;default;;Kubernetes.Delete.Pod
"delete the pod named ""mailer"" in the namespace ""my-namespace"".";Kubernetes;Delete;Pod;mailer;;;my-namespace;;Kubernetes.Delete.Pod
"remove all pods named ""app=my-app"".";Kubernetes;Delete;Pod;app=my-app;;;;;Kubernetes.Delete.Pod
"terminate all pods named ""production"".";Kubernetes;Delete;Pod;production;;;;;Kubernetes.Delete.Pod
"delete the pod named ""cache"" with grace period 30 seconds.""""";Kubernetes;Delete;Pod;cache;;;;30;Kubernetes.Delete.Pod
"remove the pod named ""tier=backend"" with grace period 60 seconds.""""";Kubernetes;Delete;Pod;tier=backend;;;;60;Kubernetes.Delete.Pod
"terminate the pod named ""env=staging"" in the namespace ""my-namespace"".";Kubernetes;Delete;Pod;env=staging;;;my-namespace;;Kubernetes.Delete.Pod
"delete the pod named ""worker-1"" in the namespace ""my-namespace"" and propagate the deletion to its dependents.""""";Kubernetes;Delete;Pod;worker-1;;;my-namespace;;Kubernetes.Delete.Pod
"remove the pod named ""app=analytics"" in the namespace ""monitoring"" and cascade the deletion.""""";Kubernetes;Delete;Pod;app=analytics;;;monitoring;;Kubernetes.Delete.Pod
"terminate the pod named ""tier=load-balancer"" in the namespace ""kube-system"" and force deletion.""""";Kubernetes;Delete;Pod;tier=load-balancer;;;kube-system;;Kubernetes.Delete.Pod
"delete the pod named ""mailer"" in the namespace ""my-namespace"" with a grace period of 10 seconds and wait for deletion to complete.""""";Kubernetes;Delete;Pod;mailer;;;my-namespace;10;Kubernetes.Delete.Pod
"remove the pod named ""app=search"" in the namespace ""default"" and wait until the pod is fully terminated.""""";Kubernetes;Delete;Pod;app=search;;;default;;Kubernetes.Delete.Pod
"terminate the pod named ""tier=auth"" in the namespace ""auth-system"" and wait for confirmation of deletion.""""";Kubernetes;Delete;Pod;tier=auth;;;auth-system;;Kubernetes.Delete.Pod
"delete the pod named ""backup"" in the namespace ""my-namespace"" and immediately remove its associated resources.""""";Kubernetes;Delete;Pod;backup;;;my-namespace;;Kubernetes.Delete.Pod
"remove all pods named ""app=monitor"" in the namespace ""monitoring"" and wait for the deletion process to finish.""""";Kubernetes;Delete;Pod;app=monitor;;;monitoring;;Kubernetes.Delete.Pod
"terminate all pods in the namespace ""kube-system"" and forcefully remove any finalizers delaying deletion.""""";Kubernetes;Delete;Pod;;;;kube-system;;Kubernetes.Delete.Pod
"delete the pod named ""web-server"" with a grace period of 5 seconds ensuring no interruption in service.""""";Kubernetes;Delete;Pod;web-server;;;;5;Kubernetes.Delete.Pod
"remove the pod named ""app=api-server"" and wait for termination taking into account any pre-stop hooks.""""";Kubernetes;Delete;Pod;app=api-server;;;;;Kubernetes.Delete.Pod
"terminate the pod named ""tier=database"" and wait for pod deletion confirmation in the namespace ""data"".";Kubernetes;Delete;Pod;tier=database;;;data;;Kubernetes.Delete.Pod
"delete the pod named ""cache-1"" in the namespace ""caching"" and propagate the deletion to its associated volumes.""""";Kubernetes;Delete;Pod;cache-1;;;caching;;Kubernetes.Delete.Pod
"remove the pod named ""app=logger"" in the namespace ""logging"" and wait until all associated resources are cleaned up.""""";Kubernetes;Delete;Pod;app=logger;;;logging;;Kubernetes.Delete.Pod
"terminate the pod named ""env=testing"" in the namespace ""default"" and ensure that any termination grace period is respected.""""";Kubernetes;Delete;Pod;env=testing;;;default;;Kubernetes.Delete.Pod
kill kubernetes pod nginx;Kubernetes;Delete;Pod;nginx;;;;;Kubernetes.Delete.Pod
delete kubernetes pod nginx;Kubernetes;Delete;Pod;nginx;;;;;Kubernetes.Delete.Pod
delete kubernetes pod database;Kubernetes;Delete;Pod;database;;;;;Kubernetes.Delete.Pod
kill pod nginx;Kubernetes;Delete;Pod;nginx;;;;;Kubernetes.Delete.Pod
kill pod db-pod;Kubernetes;Delete;Pod;db-pod;;;;;Kubernetes.Delete.Pod
delete pod nginx;Kubernetes;Delete;Pod;nginx;;;;;Kubernetes.Delete.Pod
Please generate a Kubernetes deployment for the application.;;;;;;;;;Kubernetes.Create.Deployment
I need you to set up a Kubernetes deployment for our project.;;;;;;;;;Kubernetes.Create.Deployment
Could you create a Kubernetes deployment to host the microservices?;;;;;;;;;Kubernetes.Create.Deployment
Let's establish a Kubernetes deployment to manage the containerized application.;;;;;;;;;Kubernetes.Create.Deployment
It would be great if you could configure a Kubernetes deployment for the system.;;;;;;;;;Kubernetes.Create.Deployment
We require a Kubernetes deployment to handle the load balancing.;;;;;;;;;Kubernetes.Create.Deployment
Please orchestrate a Kubernetes deployment for the backend services.;;;;;;;;;Kubernetes.Create.Deployment
I'd like you to create a Kubernetes deployment with three replicas.;;;;;;;;;Kubernetes.Create.Deployment
The team needs you to set up a Kubernetes deployment with persistent storage.;;;;;;;;;Kubernetes.Create.Deployment
We should utilize a Kubernetes deployment for scaling the application.;;;;;;;;;Kubernetes.Create.Deployment
Let's implement a Kubernetes deployment with custom resource definitions.;;;;;;;;;Kubernetes.Create.Deployment
Could you configure a Kubernetes deployment using the YAML file provided?;;;;;;;;;Kubernetes.Create.Deployment
We need a Kubernetes deployment that includes both the frontend and backend components.;;;;;;;;;Kubernetes.Create.Deployment
I want you to create a Kubernetes deployment for the machine learning model.;;;;;;;;;Kubernetes.Create.Deployment
Please create a Kubernetes deployment with a specific CPU and memory resource allocation.;;;;;;;;;Kubernetes.Create.Deployment
Let's deploy the Docker image to a Kubernetes cluster using a deployment.;;;;;;;;;Kubernetes.Create.Deployment
I need you to create a rolling update for the existing Kubernetes deployment.;;;;;;;;;Kubernetes.Create.Deployment
Could you create a Kubernetes deployment with a minimum of two replicas?;;;;;;;;;Kubernetes.Create.Deployment
It would be great if you could deploy the application using a Kubernetes deployment manifest.;;;;;;;;;Kubernetes.Create.Deployment
Please ensure that the Kubernetes deployment has the appropriate environment variables set.;;;;;;;;;Kubernetes.Create.Deployment
I want you to create a Canary deployment strategy for the Kubernetes deployment.;;;;;;;;;Kubernetes.Create.Deployment
Let's use a Kubernetes deployment to manage the deployment lifecycle.;;;;;;;;;Kubernetes.Create.Deployment
Could you set up an autoscaling policy for the Kubernetes deployment?;;;;;;;;;Kubernetes.Create.Deployment
We need a Kubernetes deployment with horizontal pod autoscaling enabled.;;;;;;;;;Kubernetes.Create.Deployment
It would be great if you could deploy the application using a Kubernetes deployment controller.;;;;;;;;;Kubernetes.Create.Deployment
Please create a Kubernetes deployment that exposes the application via a load balancer.;;;;;;;;;Kubernetes.Create.Deployment
I'd like you to create a Kubernetes deployment with a specific image pull policy.;;;;;;;;;Kubernetes.Create.Deployment
We should create a Kubernetes deployment using a declarative approach.;;;;;;;;;Kubernetes.Create.Deployment
Could you create a Kubernetes deployment with custom labels and annotations?;;;;;;;;;Kubernetes.Create.Deployment
Let's establish a Kubernetes deployment using the latest version of the Docker image.;;;;;;;;;Kubernetes.Create.Deployment
I need you to create a Kubernetes deployment that mounts a secret as a volume.;;;;;;;;;Kubernetes.Create.Deployment
Please configure a Kubernetes deployment with resource limits and requests.;;;;;;;;;Kubernetes.Create.Deployment
We require a Kubernetes deployment that uses a specific affinity rule.;;;;;;;;;Kubernetes.Create.Deployment
It would be great if you could create a Kubernetes deployment with a readiness probe.;;;;;;;;;Kubernetes.Create.Deployment
I want you to create a canary deployment using the Kubernetes deployment strategy.;;;;;;;;;Kubernetes.Create.Deployment
Let's use a Kubernetes deployment to manage the rollout of the application.;;;;;;;;;Kubernetes.Create.Deployment
Could you set up a Kubernetes deployment with pod disruption budgets?;;;;;;;;;Kubernetes.Create.Deployment
We need a Kubernetes deployment that utilizes a specific ingress controller.;;;;;;;;;Kubernetes.Create.Deployment
Please create a Kubernetes deployment that runs the application on specific nodes.;;;;;;;;;Kubernetes.Create.Deployment
I'd like you to create a Kubernetes deployment with a specific container restart policy.;;;;;;;;;Kubernetes.Create.Deployment
We should configure a Kubernetes deployment that exposes metrics for monitoring.;;;;;;;;;Kubernetes.Create.Deployment
Could you create a Kubernetes deployment with a specific deployment strategy?;;;;;;;;;Kubernetes.Create.Deployment
Let's establish a Kubernetes deployment that utilizes a specific network policy.;;;;;;;;;Kubernetes.Create.Deployment
I need you to create a Kubernetes deployment with a specific service account.;;;;;;;;;Kubernetes.Create.Deployment
Please generate a Kubernetes deployment that runs the application on multiple namespaces.;;;;;;;;;Kubernetes.Create.Deployment
It would be great if you could create a Kubernetes deployment with custom health checks.;;;;;;;;;Kubernetes.Create.Deployment
